date,material,supplier,delivery_time,cost,quality_score,stock_level
2024-01-01,Cement,Supplier A,10,1000,95,High
2024-01-02,Steel,Supplier B,15,2000,90,Medium
2024-01-03,Concrete,Supplier C,8,800,85,Low
2024-01-04,Timber,Supplier D,12,1500,92,High
2024-01-05,Cement,Supplier B,11,1100,88,Medium
2024-01-06,Steel,Supplier A,14,1900,93,Low
2024-01-07,Concrete,Supplier D,9,850,87,High
2024-01-08,Timber,Supplier C,13,1400,91,Medium
2024-01-09,Cement,Supplier D,10,1050,89,High
2024-01-10,Steel,Supplier C,16,2100,94,Low
